# ts wx wy wz ax ay az
1654544051.461638 -0.004261 0.003196 0.001065 -0.152984 8.681828 3.939331
1654544051.466640 0.001065 -0.001065 0.002131 -0.152984 8.681828 3.939331
1654544051.471642 -0.001065 -0.001065 0.003196 -0.152984 8.681828 3.939331
1654544051.476644 -0.005326 0.002131 -0.001065 -0.152984 8.681828 3.939331
1654544051.481645 -0.003196 -0.004261 0.001065 -0.152984 8.681828 3.939331
1654544051.486647 0.003196 -0.002131 0.001065 -0.152984 8.681828 3.939331
1654544051.491649 -0.003196 -0.004261 0.000000 -0.140587 8.681828 3.939331
1654544051.496650 -0.003196 -0.001065 0.002131 -0.134573 8.681828 3.939331
1654544051.501652 0.001065 0.001065 0.000000 -0.128560 8.681828 3.939331
1654544051.506653 0.001065 0.000000 0.002131 -0.133861 8.681828 3.939331
1654544051.511655 0.001065 -0.004261 -0.002131 -0.133861 8.681828 3.939331
1654544051.516657 -0.001065 -0.004261 0.002131 -0.133861 8.681828 3.939331
1654544051.521658 0.002131 -0.003196 -0.001065 -0.133861 8.681828 3.939331
1654544051.526660 -0.002131 0.002131 0.002131 -0.150106 8.681828 3.939331
1654544051.531662 -0.001065 -0.001065 0.000000 -0.156119 8.681828 3.939331
1654544051.536664 -0.001065 -0.001065 0.001065 -0.162132 8.681828 3.939331
1654544051.541665 -0.006392 -0.007457 -0.001065 -0.137822 8.681828 3.939331
1654544051.546667 -0.001065 0.001065 0.000000 -0.131809 8.681828 3.939331
1654544051.551669 0.001065 -0.001065 0.002131 -0.125795 8.681828 3.939331
1654544051.556670 -0.003196 0.000000 0.001065 -0.133861 8.681828 3.939331
1654544051.561672 0.000000 0.001065 0.002131 -0.133861 8.681828 3.939331
1654544051.566674 0.003196 -0.007457 0.001065 -0.133861 8.681828 3.939331
1654544051.571675 -0.001065 -0.008522 -0.001065 -0.133861 8.681828 3.939331
1654544051.576677 -0.005326 0.002131 0.001065 -0.133861 8.681828 3.939331
1654544051.581679 0.003196 -0.002131 0.003196 -0.133861 8.681828 3.939331
1654544051.586680 -0.003196 0.000000 0.002131 -0.133861 8.681828 3.939331
1654544051.591682 0.000000 -0.001065 -0.001065 -0.133861 8.681828 3.939331
1654544051.596684 -0.001065 -0.001065 0.002131 -0.133861 8.681828 3.939331
1654544051.601685 0.001065 0.002131 0.003196 -0.133861 8.681828 3.939331
1654544051.606687 -0.005326 0.003196 0.001065 -0.133861 8.681828 3.939331
1654544051.611689 0.003196 -0.002131 0.000000 -0.133861 8.681828 3.939331
1654544051.616690 0.001065 -0.001065 0.002131 -0.133861 8.681828 3.939331
1654544051.621692 -0.001065 -0.001065 0.001065 -0.149629 8.681828 3.939331
1654544051.626694 -0.003196 -0.001065 0.002131 -0.155643 8.681828 3.939331
1654544051.631696 0.000000 -0.004261 -0.001065 -0.161657 8.681828 3.939331
1654544051.636697 -0.001065 0.002131 0.000000 -0.138297 8.681828 3.954018
1654544051.641699 0.000000 -0.005326 0.006392 -0.132283 8.681828 3.960032
1654544051.646700 -0.002131 0.001065 0.001065 -0.126269 8.681828 3.966046
1654544051.651702 0.001065 0.000000 0.001065 -0.133861 8.681828 3.944850
1654544051.656704 -0.005326 -0.002131 0.003196 -0.133861 8.681828 3.938837
1654544051.661706 -0.004261 0.000000 0.000000 -0.133861 8.681828 3.932823
1654544051.666707 -0.001065 0.001065 0.000000 -0.133861 8.681828 3.939331
1654544051.671709 -0.002131 0.001065 0.000000 -0.133861 8.681828 3.939331
1654544051.676711 -0.002131 0.001065 -0.001065 -0.133861 8.681828 3.939331
1654544051.681712 -0.004261 0.000000 0.004261 -0.133861 8.670386 3.939331
1654544051.686714 0.002131 0.000000 -0.001065 -0.133861 8.664372 3.939331
1654544051.691715 -0.004261 -0.003196 0.003196 -0.133861 8.658358 3.939331
1654544051.696717 -0.002131 0.000000 -0.001065 -0.133861 8.652344 3.939331
1654544051.701719 -0.001065 -0.002131 0.000000 -0.150234 8.679077 3.939331
1654544051.706721 -0.003196 -0.004261 -0.001065 -0.156247 8.685091 3.939331
1654544051.711722 -0.001065 -0.005326 0.001065 -0.162261 8.691106 3.939331
1654544051.716724 -0.003196 0.007457 0.002131 -0.152984 8.681828 3.954623
1654544051.721726 0.005326 0.000000 0.002131 -0.152984 8.681828 3.960637
1654544051.726727 -0.005326 0.001065 0.002131 -0.152984 8.681828 3.966651
1654544051.731729 0.000000 -0.001065 0.000000 -0.138774 8.681828 3.944245
1654544051.736731 -0.002131 -0.002131 0.003196 -0.132761 8.681828 3.938231
1654544051.741732 -0.003196 0.003196 0.001065 -0.126747 8.681828 3.932218
1654544051.746734 -0.002131 0.001065 0.004261 -0.146987 8.681828 3.939331
1654544051.751735 -0.002131 -0.002131 0.001065 -0.153000 8.681828 3.939331
1654544051.756737 -0.001065 0.000000 0.000000 -0.159014 8.681828 3.939331
1654544051.761739 0.000000 0.000000 -0.002131 -0.152984 8.681828 3.939331
1654544051.766741 -0.001065 -0.001065 0.000000 -0.152984 8.681828 3.939331
1654544051.771743 0.001065 -0.003196 0.004261 -0.152984 8.681828 3.939331
1654544051.776744 0.002131 0.001065 0.003196 -0.152984 8.681828 3.939331
1654544051.781746 -0.003196 0.000000 0.000000 -0.152984 8.698802 3.939331
1654544051.786747 -0.001065 -0.001065 -0.002131 -0.152984 8.704815 3.939331
1654544051.791749 -0.002131 0.004261 0.002131 -0.152984 8.710829 3.939331
1654544051.796751 0.001065 0.000000 0.005326 -0.152984 8.685056 3.955226
1654544051.801753 -0.002131 -0.001065 -0.005326 -0.152984 8.679042 3.961240
1654544051.806754 0.004261 0.000000 0.005326 -0.152984 8.673028 3.967254
1654544051.811756 -0.001065 0.004261 0.002131 -0.138170 8.681828 3.928826
1654544051.816757 -0.003196 0.002131 0.003196 -0.132155 8.681828 3.916798
1654544051.821759 -0.002131 -0.003196 -0.002131 -0.126141 8.681828 3.904770
1654544051.826761 -0.003196 0.002131 0.000000 -0.133861 8.695656 3.934038
1654544051.831762 0.002131 0.000000 0.003196 -0.133861 8.701712 3.940093
1654544051.836654 0.001065 0.001065 0.001065 -0.133861 8.707635 3.946017
1654544051.841656 -0.001065 0.001065 0.001065 -0.133861 8.700950 3.951984
1654544051.846658 0.002131 0.000000 0.000000 -0.133861 8.700950 3.957998
1654544051.851660 -0.001065 -0.001065 0.003196 -0.133861 8.700950 3.964012
1654544051.856661 0.001065 -0.005326 0.002131 -0.133861 8.689378 3.946882
1654544051.861663 -0.004261 -0.001065 -0.001065 -0.133861 8.683363 3.940867
1654544051.866664 0.001065 -0.005326 -0.001065 -0.133861 8.677349 3.934853
1654544051.871666 -0.001065 -0.003196 0.005326 -0.133861 8.671335 3.928839
1654544051.876667 -0.001065 -0.002131 0.002131 -0.133861 8.681828 3.955835
1654544051.881669 -0.002131 -0.003196 0.003196 -0.133861 8.681828 3.961848
1654544051.886671 -0.002131 -0.002131 0.000000 -0.133861 8.681828 3.967862
1654544051.891673 -0.001065 0.001065 0.002131 -0.149283 8.681828 3.943032
1654544051.896674 0.000000 -0.002131 0.000000 -0.155296 8.681828 3.937019
1654544051.901676 -0.004261 0.004261 -0.001065 -0.161310 8.681828 3.931005
1654544051.906678 -0.001065 -0.005326 0.001065 -0.138644 8.681828 3.939331
1654544051.911679 -0.002131 -0.003196 0.000000 -0.132630 8.681828 3.939331
1654544051.916681 -0.003196 0.000000 0.000000 -0.126616 8.681828 3.939331
1654544051.921683 -0.004261 0.000000 0.000000 -0.133861 8.681828 3.939331
1654544051.926684 -0.001065 -0.001065 0.002131 -0.133861 8.681828 3.939331
1654544051.931686 0.001065 -0.008522 -0.001065 -0.133861 8.681828 3.939331
1654544051.936688 -0.003196 -0.001065 0.002131 -0.146037 8.694003 3.951507
1654544051.941689 0.001065 -0.003196 -0.001065 -0.152051 8.700017 3.957521
1654544051.946691 -0.002131 -0.005326 0.004261 -0.158064 8.706030 3.963535
1654544051.951693 0.001065 0.002131 0.000000 -0.164078 8.712044 3.969549
1654544051.956694 0.001065 -0.001065 0.001065 -0.135876 8.683843 3.941347
1654544051.961696 -0.005326 -0.002131 0.000000 -0.129863 8.677830 3.935333
1654544051.966697 -0.003196 -0.002131 -0.001065 -0.123849 8.671816 3.929320
1654544051.971699 0.000000 0.003196 0.001065 -0.133861 8.681828 3.955357
1654544051.976701 0.002131 0.001065 -0.002131 -0.133861 8.681828 3.961371
1654544051.981703 0.000000 -0.003196 0.001065 -0.133861 8.681828 3.967385
1654544051.986705 -0.002131 0.001065 0.000000 -0.133861 8.681828 3.943510
1654544051.991706 -0.004261 0.001065 0.003196 -0.133861 8.681828 3.937496
1654544051.996708 0.001065 -0.001065 0.003196 -0.133861 8.681828 3.931483
1654544052.001709 -0.003196 -0.002131 -0.002131 -0.133861 8.681828 3.953193
1654544052.006711 -0.001065 0.001065 0.000000 -0.133861 8.681828 3.959207
1654544052.011713 -0.003196 0.002131 0.000000 -0.133861 8.681828 3.965220
1654544052.016715 0.000000 -0.001065 0.000000 -0.146642 8.681828 3.932892
1654544052.021716 -0.001065 0.000000 0.002131 -0.152656 8.681828 3.920864
1654544052.026718 -0.004261 0.001065 0.001065 -0.158670 8.681828 3.908835
1654544052.031719 0.002131 -0.004261 0.003196 -0.141282 8.681828 3.943611
1654544052.036721 0.000000 0.000000 0.004261 -0.135267 8.681828 3.955641
1654544052.041723 -0.004261 -0.006392 0.002131 -0.129253 8.681828 3.967670
1654544052.046724 0.001065 -0.003196 0.001065 -0.123238 8.681828 3.979699
1654544052.051726 -0.004261 -0.003196 -0.001065 -0.133861 8.681828 3.941819
1654544052.056728 -0.005326 0.001065 0.000000 -0.133861 8.681828 3.935804
1654544052.061729 0.000000 0.001065 -0.001065 -0.133861 8.681828 3.929790
1654544052.066731 0.000000 -0.003196 0.003196 -0.133861 8.666273 3.923778
1654544052.071733 0.001065 -0.004261 0.002131 -0.133861 8.660259 3.917764
1654544052.076735 -0.003196 -0.005326 -0.001065 -0.133861 8.654245 3.911750
1654544052.081736 -0.001065 0.000000 0.002131 -0.133861 8.691647 3.934680
