idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode
0,0.0,0.0,0.0,-0.0,1.0,1.2562671501267084,0.07920924457532602,0.0,0.0,0.0,0.0,70
1,0.16722408026755853,0.16722408026755853,0.2100781187502857,-0.013245693072796993,1.0,1.2551578081875074,0.1583485437278389,0.0,0.0,0.0,0.0,70
2,0.33444816053511706,0.33444816053511706,0.4197852201296012,-0.05295937917319027,1.0,1.2518317415702827,0.3164174292945168,0.0,0.0,0.0,0.0,70
3,0.5016722408026756,0.5016722408026756,0.6287509420179388,-0.1190709202615986,1.0,1.246294824416042,0.4739274924410189,0.0,0.0,0.0,0.0,70
4,0.6688963210702341,0.6688963210702341,0.836606231639983,-0.21146355724710963,1.0,1.2385568354321432,0.6306005558403651,0.0,0.0,0.0,0.0,70
5,0.8361204013377926,0.8361204013377926,1.0429839973464148,-0.3299741161948311,1.0,1.2286314406221972,0.786159920384482,0.0,0.0,0.0,0.0,70
6,1.0033444816053512,1.0033444816053512,1.2475197569316878,-0.4743932965061337,1.0,1.2165361691506429,0.940330853860401,0.0,0.0,0.0,0.0,70
7,1.1705685618729098,1.1705685618729098,1.4498522813432855,-0.6444660405628583,1.0,1.2022923823846197,1.0928410761527048,0.0,0.0,0.0,0.0,70
8,1.3377926421404682,1.3377926421404682,1.6496242326456074,-0.8398919841826236,1.0,1.1859252361678179,1.2434212401153928,0.0,0.0,0.0,0.0,70
9,1.5050167224080266,1.5050167224080266,1.8464827951117861,-1.0603259870897452,1.0,1.1674636363929396,1.391805407263847,0.0,0.0,0.0,0.0,70
10,1.6722408026755853,1.6722408026755853,2.040080298328865,-1.3053787424648466,1.0,1.146940187951222,1.5377315174467463,0.0,0.0,0.0,0.0,70
11,1.839464882943144,1.839464882943144,2.230074831215874,-1.5746174644966842,1.0,1.124391137149175,1.6809418516685222,0.0,0.0,0.0,0.0,70
12,2.0066889632107023,2.0066889632107023,2.416130845870395,-1.8675666527218775,1.0,1.0998563076942685,1.821183487244904,0.0,0.0,0.0,0.0,70
13,2.1739130434782608,2.1739130434782608,2.5979197501771676,-2.1837089318026717,1.0,1.073379030362578,1.9582087444877754,0.0,0.0,0.0,0.0,70
14,2.3411371237458196,2.3411371237458196,2.775120488132127,-2.5224859652595955,1.0,1.0450060664726222,2.0917756241303933,0.0,0.0,0.0,0.0,70
