idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode
0,0.0,10.0,0.0,-0.0,-5.939600333301707,188.37072793038698,30.0,0.0,0.0,0.0,0.0,70
1,0.10033444816053512,9.980135115942135,0.6300024345497892,-0.10033444816053512,-11.867401719405962,187.9965316633637,30.0,0.0,0.0,0.0,3.612040133779264,70
2,0.20066889632107024,9.920619386492268,1.2575018840358776,-0.20066889632107024,-23.687654526966877,186.87542953538573,30.0,0.0,0.0,0.0,7.224080267558528,70
3,0.3010033444816054,9.821689266263427,1.8800053076961822,-0.3010033444816054,-35.4137968323721,185.01187565921097,30.0,0.0,0.0,0.0,10.836120401337793,70
4,0.4013377926421405,9.683737802329244,2.4950395138633756,-0.4013377926421405,-46.99924094415249,182.41327389117663,30.0,0.0,0.0,0.0,14.448160535117056,70
5,0.5016722408026756,9.507313072657055,3.1001609858980324,-0.5016722408026756,-58.397958161499744,179.0899484158494,30.0,0.0,0.0,0.0,18.06020066889632,70
6,0.6020066889632107,9.293116008606837,3.6929655902235723,-0.6020066889632107,-69.56466164522861,175.05510272828016,30.0,0.0,0.0,0.0,21.672240802675585,70
7,0.7023411371237458,9.041997610147165,4.271098127893217,-0.7023411371237458,-80.45498634133591,170.32476717682405,30.0,0.0,0.0,0.0,25.28428093645485,70
8,0.802675585284281,8.754955564852082,4.83226169174079,-0.802675585284281,-91.02566524233363,164.91773527493805,30.000000000000004,0.0,0.0,0.0,28.896321070234112,70
9,0.9030100334448161,8.433130284111488,5.374226791939626,-0.9030100334448161,-101.23470128606566,158.85548903498733,30.0,0.0,0.0,0.0,32.50836120401338,70
10,1.0033444816053512,8.077800372303148,5.894840213713949,-1.0033444816053512,-111.04153420906137,152.16211362070928,30.0,0.0,0.0,0.0,36.12040133779264,70
11,1.1036789297658862,7.690377546927132,6.392033572011259,-1.1036789297658862,-120.40720169152324,144.86420165741677,30.000000000000004,0.0,0.0,0.0,39.7324414715719,70
12,1.2040133779264215,7.272401029884932,6.863831529148175,-1.2040133779264215,-129.2944941537182,136.99074758011207,30.000000000000004,0.0,0.0,0.0,43.34448160535117,70
13,1.3043478260869565,6.8255314321865415,7.30835964278124,-1.3043478260869565,-137.66810258877643,128.5730324392715,30.0,0.0,0.0,0.0,46.95652173913044,70
14,1.4046822742474916,6.3515441563814115,7.7238518130229,-1.4046822742474916,-145.49475884455637,119.64449962195634,30.000000000000004,0.0,0.0,0.0,50.5685618729097,70
15,1.5050167224080269,5.852322342925294,8.108657299115396,-1.5050167224080269,-152.7433677972413,110.24062198201068,30.000000000000004,0.0,0.0,0.0,54.180602006688964,70
16,1.605351170568562,5.329849388506887,8.461247277785514,-1.605351170568562,-159.38513089154614,100.39876090723679,30.0,0.0,0.0,0.0,57.792642140468224,70
17,1.705685618729097,4.786201066058766,8.780220917224003,-1.705685618729097,-165.39366055670976,90.15801788346837,30.000000000000004,0.0,0.0,0.0,61.404682274247484,70
18,1.8060200668896322,4.2235372777596645,9.064310942557878,-1.8060200668896322,-170.74508504370007,79.5590791452716,30.000000000000004,0.0,0.0,0.0,65.01672240802677,70
19,1.9063545150501673,3.644093473793213,9.312388670704081,-1.9063545150501673,-175.41814326712165,68.64405403047994,30.0,0.0,0.0,0.0,68.62876254180603,70
20,2.0066889632107023,3.050171770956176,9.523468494601222,-2.0066889632107023,-179.39426927501395,57.456307680773044,30.0,0.0,0.0,0.0,72.24080267558529,70
21,2.1070234113712374,2.444131806401816,9.696711799003566,-2.1070234113712374,-182.65766601094742,46.04028875297214,30.0,0.0,0.0,0.0,75.85284280936455,70
22,2.2073578595317724,1.828381362856194,9.831430292279965,-2.2073578595317724,-185.19536807536335,34.441352825557615,30.000000000000004,0.0,0.0,0.0,79.4648829431438,70
23,2.307692307692308,1.20536680255323,9.92708874098054,-2.307692307692308,-186.99729323680523,22.705582202007687,30.000000000000004,0.0,0.0,0.0,83.07692307692308,70
24,2.408026755852843,0.5775633478942844,9.983307096306772,-2.408026755852843,-188.05628248839045,10.879602826875702,30.0,0.0,0.0,0.0,86.68896321070234,70
25,2.508361204013378,-0.05253475255305974,9.999862004036565,-2.508361204013378,-188.36812849037867,-0.9896009580063907,30.0,0.0,0.0,0.0,90.3010033444816,70
26,2.608695652173913,-0.682424133646709,9.976687691905392,-2.608695652173913,-187.9315922858351,-12.854873081229282,30.0,0.0,0.0,0.0,93.91304347826087,70
27,2.709030100334448,-1.3096022594817218,9.913876230917975,-2.709030100334448,-186.748408222978,-24.669073091785013,30.0,0.0,0.0,0.0,97.52508361204013,70
