idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode
0,0.0,0.0,0.0,-5,1.5204081632653061,1.5204081632653061,0.0,0.0,0.0,0.0,0.0,70
1,0.1342281879194631,0.20408163265306123,0.20408163265306123,-5,1.5204081632653061,1.5204081632653061,0.0,0.0,0.0,0.0,0.0,70
2,0.2684563758389262,0.40816326530612246,0.40816326530612246,-5,1.5204081632653064,1.5204081632653064,0.0,0.0,0.0,0.0,0.0,70
3,0.40268456375838924,0.6122448979591837,0.6122448979591837,-5,1.5204081632653061,1.5204081632653061,0.0,0.0,0.0,0.0,0.0,70
4,0.5369127516778524,0.8163265306122449,0.8163265306122449,-5,1.520408163265306,1.520408163265306,0.0,0.0,0.0,0.0,0.0,70
5,0.6711409395973155,1.0204081632653061,1.0204081632653061,-5,1.5204081632653064,1.5204081632653064,0.0,0.0,0.0,0.0,0.0,70
6,0.8053691275167785,1.2244897959183674,1.2244897959183674,-5,1.5204081632653064,1.5204081632653064,0.0,0.0,0.0,0.0,0.0,70
7,0.9395973154362416,1.4285714285714286,1.4285714285714286,-5,1.520408163265306,1.520408163265306,0.0,0.0,0.0,0.0,0.0,70
8,1.0738255033557047,1.6326530612244898,1.6326530612244898,-5,1.520408163265306,1.520408163265306,0.0,0.0,0.0,0.0,0.0,70
9,1.2080536912751678,1.836734693877551,1.836734693877551,-5,1.520408163265306,1.520408163265306,0.0,0.0,0.0,0.0,0.0,70
10,1.342281879194631,2.0408163265306123,2.0408163265306123,-5,1.5204081632653066,1.5204081632653066,0.0,0.0,0.0,0.0,0.0,70
11,1.476510067114094,2.2448979591836737,2.2448979591836737,-5,1.520408163265307,1.520408163265307,0.0,0.0,0.0,0.0,0.0,70
12,1.610738255033557,2.4489795918367347,2.4489795918367347,-5,1.5204081632653055,1.5204081632653055,0.0,0.0,0.0,0.0,0.0,70
13,1.74496644295302,2.6530612244897958,2.6530612244897958,-5,1.520408163265306,1.520408163265306,0.0,0.0,0.0,0.0,0.0,70
14,1.8791946308724832,2.857142857142857,2.857142857142857,-5,1.5204081632653061,1.5204081632653061,0.0,0.0,0.0,0.0,0.0,70
15,2.0134228187919465,3.0612244897959187,3.0612244897959187,-5,1.520408163265306,1.520408163265306,0.0,0.0,0.0,0.0,0.0,70
